ZT;Condition;PDF
0;Summer;0.960560178
0;Summer;0.907400035
0;Summer;1.006526598
0;Summer;1.274798625
4;Summer;0.956568795
4;Summer;1.589463953
4;Summer;1.432835277
4;Summer;1.850678303
4;Summer;0.832572696
4;Summer;1.112082812
4;Summer;1.683787086
4;Summer;1.449739441
4;Summer;1.788950383
4;Summer;1.846084201
4;Summer;2.276216213
4;Summer;1.759550323
4;Summer;1.775974766
4;Summer;2.229549995
4;Summer;1.78923177
4;Summer;2.062945579
4;Summer;1.385546476
4;Summer;1.407338073
4;Summer;1.349546054
8;Summer;0.338586994
8;Summer;0.32451924
8;Summer;1.651846367
8;Summer;1.14775187
8;Summer;0.92535837
8;Summer;0.132067761
8;Summer;1.162588353
8;Summer;0.678942066
8;Summer;0.877120581
8;Summer;2.457206032
8;Summer;0.748627413
8;Summer;0.898784696
8;Summer;1.195994329
8;Summer;1.751478183
8;Summer;0.276057886
8;Summer;0.472979929
8;Summer;0.865355907
8;Summer;0.873560176
8;Summer;0.582227864
8;Summer;1.425346848
8;Summer;0.761599914
12;Summer;0.707385065
12;Summer;0.480379186
12;Summer;0.397856053
12;Summer;0.781221552
12;Summer;0.513895801
12;Summer;0.217358321
12;Summer;0.241765489
12;Summer;1.090750563
12;Summer;0.255910115
12;Summer;0.333782433
12;Summer;0.20046018
12;Summer;1.266144137
12;Summer;0.703477571
12;Summer;2.357154157
12;Summer;0.702665219
12;Summer;1.130558368
12;Summer;0.505220775
16;Summer;0.949727101
16;Summer;0.407426738
16;Summer;0.297114027
16;Summer;0.726142069
16;Summer;0.711190277
16;Summer;0.663951837
16;Summer;0.538841079
16;Summer;0.815968134
16;Summer;2.341589086
16;Summer;0.717224805
16;Summer;0.267594807
16;Summer;1.208552758
16;Summer;1.583349383
16;Summer;0.616301396
16;Summer;1.601141612
16;Summer;0.231805481
16;Summer;1.697665956
16;Summer;1.041028329
16;Summer;1.909503962
16;Summer;1.376104103
16;Summer;0.240490555
16;Summer;1.193677167
20;Summer;0.409194816
20;Summer;0.336088622
20;Summer;0.752125133
20;Summer;1.047740137
20;Summer;0.39789449
20;Summer;0.825615692
20;Summer;1.330709538
20;Summer;0.20840262
20;Summer;1.133568807
20;Summer;0.402929669
20;Summer;2.732680318
20;Summer;0.761003961
20;Summer;0.544337497
20;Summer;0.786336288
20;Summer;0.214004687
20;Summer;0.29326532
20;Summer;0.836428088
20;Summer;0.38648153
20;Summer;0.400849401
