test,period,n_components,p,q,p params,q params,p(F test),q(F test),d_amplitude,CI(d_amplitude),p(d_amplitude),q(d_amplitude),d_acrophase,CI(d_acrophase),p(d_acrophase),q(d_acrophase),d_mesor,CI(d_mesor),p(d_mesor),q(d_mesor)
Equinox vs. Summer,24,2,0.010523473819091694,0.020109080483664114,0.08016386203687455,0.12024579305531183,0.04138601737201031,0.06207902605801546,-10.551504022672468,"[-19.176631315592147, -1.926376729752791]",0.01652371890154769,0.04957115670464307,0.9685791164220783,"[-0.07444751734511823, 2.0116057501892746]",0.06873013167467756,0.06873013167467756,-6.827033967378966,"[-14.071308760013713, 0.41724082525577977]",0.0647213892983387,0.09708208394750806
Equinox vs. Winter,24,2,0.013406053655776075,0.020109080483664114,0.007420585756009444,0.022261757268028332,0.009909200847513122,0.029727602542539366,-10.008588007939721,"[-19.343073340219746, -0.6741026756596948]",0.035609920733573164,0.053414881100359746,-1.547210796362541,"[-2.9401357848100957, -0.15428580791498603]",0.02949461406766618,0.04424192110149927,-7.293682710551167,"[-14.946291230418833, 0.3589258093165002]",0.06174541639390263,0.09708208394750806
Summer vs. Winter,24,2,0.876104513958977,0.876104513958977,0.13232456344838842,0.13232456344838842,0.5485010564962919,0.5485010564962919,0.5429160147327465,"[-7.448683099109277, 8.534515128574771]",0.8940227122453537,0.8940227122453537,-2.5157899127846193,"[-3.9771696353593144, -1.0544101902099239]",0.0007491715858249925,0.0022475147574749776,-0.4666487431722004,"[-7.29444153091215, 6.361144044567749]",0.8933875082084124,0.8933875082084124
