test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
Equinox,24.0,2.0,0.008901263154717065,0.026703789464151195,0.4718055191663739,0.6173743125074329,34104.71379043719,0.15944269885884987,0.115777384513855,-363.6022969946624,15.303422701612565,-2.5409478119124653,56.06226424329343,[9.70570571],[71.36499753],[ 2.88288288 17.2012012 ],[51.24005345 40.75884154],41.90719466408603,21.045625695492372
Summer,24.0,2.0,0.7145870244084948,0.7195886261573934,0.1420243775014307,0.42607313250429213,17746.94148720004,0.030630969277134157,-0.027241808676469637,-300.4264590072983,4.751918678940097,-1.572368695490387,49.23523027591446,[ 6.00600601 20.13213213],[53.9871152  50.89046188],[13.35735736],[44.4833116],32.485287288818085,16.275125919314814
Winter,24.0,2.0,0.7195886261573934,0.7195886261573934,0.6173743125074329,0.6173743125074329,19644.101501076435,0.035365640539759324,-0.03232799872060843,-266.48452734164516,5.294834693672843,2.19502669890458,48.76858153274226,[15.61561562],[54.06341623],[6.82282282],[43.47377534],37.1743762542171,18.56430337147095
