test,period,n_components,p1,p2,q1,q2,d_amplitude,CI(d_amplitude),p(d_amplitude),q(d_amplitude),d_acrophase,CI(d_acrophase),p(d_acrophase),q(d_acrophase),d_mesor,CI(d_mesor),p(d_mesor),q(d_mesor)
Equinox vs. Summer,24,2,0.008901263154717065,0.7145870244084948,0.013351894732075598,0.7195886261573934,-10.551504022672468,"[-18.99210572711044, -2.110902318234496]",0.01430686614365606,0.04292059843096818,0.9685791164220783,"[-0.11533121537580526, 2.052489448219962]",0.07984461357092454,0.07984461357092454,-6.827033967378966,"[-13.996158765342102, 0.3420908305841701]",0.06196811747942288,0.10073012140397897
Equinox vs. Winter,24,2,0.008901263154717065,0.7195886261573934,0.013351894732075598,0.7195886261573934,-10.008588007939721,"[-19.27842283126828, -0.7387531846111646]",0.034345417986728854,0.05151812698009328,-1.547210796362541,"[-2.9162519095697865, -0.17816968315529524]",0.026777819597108676,0.040166729395663014,-7.293682710551167,"[-15.103077371816774, 0.5157119507144392]",0.06715341426931931,0.10073012140397897
Summer vs. Winter,24,2,0.7145870244084948,0.7195886261573934,0.7145870244084948,0.7195886261573934,0.5429160147327465,"[-7.686066822580509, 8.771898852046002]",0.8970625839008912,0.8970625839008912,-2.5157899127846193,"[-4.063779689748083, -0.9678001358211552]",0.001458522876969015,0.004375568630907045,-0.4666487431722004,"[-7.520531063248246, 6.587233576903845]",0.8967851724403741,0.8967851724403741
